/home/runner/work/sbc/sbc/input/sbc.xml:12:42: error: element "Module" not allowed anywhere; expected element "PP"
/home/runner/work/sbc/sbc/input/sbc.xml:16:18: error: element "PPVersion" not allowed yet; missing required element "PPTitle"
/home/runner/work/sbc/sbc/input/sbc.xml:21:17: error: element "PPVersion" not allowed yet; missing required element "PPTitle"
/home/runner/work/sbc/sbc/input/sbc.xml:28:21: error: element "PPVersion" not allowed yet; missing required element "PPTitle"
/home/runner/work/sbc/sbc/input/sbc.xml:131:22: error: element "PPVersion" not allowed yet; missing required element "PPTitle"
/home/runner/work/sbc/sbc/input/sbc.xml:155:28: error: element "PPVersion" not allowed yet; missing required element "PPTitle"
/home/runner/work/sbc/sbc/input/sbc.xml:163:34: error: element "consistency-rationale" not allowed here; expected element "objective-refer"
/home/runner/work/sbc/sbc/input/sbc.xml:179:34: error: element "consistency-rationale" not allowed here; expected element "objective-refer"
/home/runner/work/sbc/sbc/input/sbc.xml:205:34: error: element "consistency-rationale" not allowed here; expected element "objective-refer"
/home/runner/work/sbc/sbc/input/sbc.xml:228:34: error: element "consistency-rationale" not allowed here; expected element "objective-refer"
/home/runner/work/sbc/sbc/input/sbc.xml:239:34: error: element "consistency-rationale" not allowed here; expected element "objective-refer"
/home/runner/work/sbc/sbc/input/sbc.xml:261:38: error: element "consistency-rationale" not allowed here; expected element "objective-refer"
/home/runner/work/sbc/sbc/input/sbc.xml:273:34: error: element "consistency-rationale" not allowed here; expected element "addressed-by"
/home/runner/work/sbc/sbc/input/sbc.xml:293:34: error: element "consistency-rationale" not allowed here; expected element "addressed-by"
/home/runner/work/sbc/sbc/input/sbc.xml:358:34: error: element "consistency-rationale" not allowed here; expected element "addressed-by"
/home/runner/work/sbc/sbc/input/sbc.xml:382:34: error: element "consistency-rationale" not allowed here; expected element "addressed-by"
/home/runner/work/sbc/sbc/input/sbc.xml:414:34: error: element "consistency-rationale" not allowed here; expected element "addressed-by"
/home/runner/work/sbc/sbc/input/sbc.xml:440:34: error: element "consistency-rationale" not allowed here; expected element "addressed-by"
/home/runner/work/sbc/sbc/input/sbc.xml:465:34: error: element "consistency-rationale" not allowed here; expected element "addressed-by"
/home/runner/work/sbc/sbc/input/sbc.xml:501:29: error: element "consistency-rationale" not allowed here; expected element "addressed-by"
/home/runner/work/sbc/sbc/input/sbc.xml:503:120: error: element "base-pp" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/sbc/sbc/input/sbc.xml:504:89: error: element "base-pp" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/sbc/sbc/input/sbc.xml:505:12: error: element "base-pp" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/sbc/sbc/input/sbc.xml:568:27: error: element "base-pp" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/sbc/sbc/input/sbc.xml:614:27: error: element "base-pp" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/sbc/sbc/input/sbc.xml:656:27: error: element "base-pp" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/sbc/sbc/input/sbc.xml:671:15: error: element "man-sfrs" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/sbc/sbc/input/sbc.xml:1006:21: error: element "man-sfrs" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/sbc/sbc/input/sbc.xml:1127:21: error: element "man-sfrs" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/sbc/sbc/input/sbc.xml:1238:21: error: element "man-sfrs" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/sbc/sbc/input/sbc.xml:1860:21: error: element "man-sfrs" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/sbc/sbc/input/sbc.xml:1929:21: error: element "man-sfrs" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/sbc/sbc/input/sbc.xml:1992:23: error: element "man-sfrs" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/sbc/sbc/input/sbc.xml:2086:21: error: element "man-sfrs" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/sbc/sbc/input/sbc.xml:2161:21: error: element "man-sfrs" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/sbc/sbc/input/sbc.xml:2164:15: error: element "opt-sfrs" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/sbc/sbc/input/sbc.xml:2165:15: error: element "sel-sfrs" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/sbc/sbc/input/sbc.xml:2170:79: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "comp-lev", "consistency-rationale", "dependencies", "exportable", "f-element", "importable", "management" or "note"
/home/runner/work/sbc/sbc/input/sbc.xml:2209:21: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "comp-lev", "consistency-rationale", "dependencies", "exportable", "f-element", "importable", "management" or "note"
/home/runner/work/sbc/sbc/input/sbc.xml:2213:15: error: element "obj-sfrs" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/sbc/sbc/input/sbc.xml:2215:20: error: element "impl-dep-sfrs" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/sbc/sbc/input/sbc.xml:2304:22: error: element "impl-dep-sfrs" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/sbc/sbc/input/sbc.xml:2307:31: error: element "sec:Security_Requirements" incomplete; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/sbc/sbc/input/sbc.xml:2349:14: error: element "sec:Security_Requirements" incomplete; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/sbc/sbc/input/sbc.xml:2472:14: error: element "sec:Security_Requirements" incomplete; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/sbc/sbc/input/sbc.xml:2476:14: error: element "sec:Security_Requirements" incomplete; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/sbc/sbc/input/sbc.xml:2496:18: error: element "sec:Security_Requirements" incomplete; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
